Taxon ID,Genome ID,Genome Name,Antibiotic,Resistant Phenotype,Measurement,Measurement Sign,Measurement Value,Measurement Unit,Laboratory Typing Method,Laboratory Typing Method Version,Laboratory Typing Platform,Vendor,Testing Standard,Testing Standard Year,Computational Method,Computational Method Version,Computational Method Performance,Evidence,Source,PubMed
562,"562.100803","Escherichia coli 03ac8596-7bb9-11e9-a8d3-68b59976a384","ciprofloxacin","Resistant",,,,,"Disk diffusion",,,,"EUCAST",,,,,"Laboratory Method",,
287,"287.34620","Pseudomonas aeruginosa 20200317_MGL_54","ciprofloxacin","Resistant",,,,,"Disk diffusion",,,"BD","CLSI, EUCAST",2021,,,,"Laboratory Method",,"37549252"
470,"470.22925","Acinetobacter baumannii MGL_154","ciprofloxacin","Resistant",,,,,"Disk diffusion",,,,,,,,,"Laboratory Method",,"37549252"
287,"287.12461","Pseudomonas aeruginosa strain CH4780","ciprofloxacin","Resistant",,,,,"Agar dilution",,,,"CLSI",2018,,,,"Laboratory Method",,"32048461"
562,"562.42710","Escherichia coli strain 309","ciprofloxacin","Resistant","4",">=","4","mg/L","Broth dilution",,"VITEK 2","BioMerieux","CLSI",,,,,"Laboratory Method",,
573,"573.14175","Klebsiella pneumoniae KPN464ec","ciprofloxacin","Resistant",">2",">","2","mg/L","Broth dilution",,"BD Phoenix",,"CLSI",2017,,,,"Laboratory Method",,"28512093;28776045"
1280,"1280.51774","Staphylococcus aureus 11-03330","ciprofloxacin","Resistant",,,,,"Broth dilution",,,,"EUCAST",2018,,,,"Laboratory Method",,"33658988"
562,"562.97392","Escherichia coli VREC1510","ciprofloxacin","Resistant",">=4",">=","4","mg/L","Broth dilution",,"VITEK 2","BioMerieux","EUCAST",,,,,"Laboratory Method",,"34485958"
1280,"1280.29746","Staphylococcus aureus strain HICF0082","ciprofloxacin","Resistant",,,,,"Disk diffusion",,,,"EUCAST",2019,,,,"Laboratory Method",,"32025709"
562,"562.99336","Escherichia coli e685a1be-7bb8-11e9-a8d3-68b59976a384","ciprofloxacin","Resistant",,,,,"Disk diffusion",,,,"EUCAST",,,,,"Laboratory Method",,
470,"470.4835","Acinetobacter baumannii strain KCRI-116 strain RDK02_116","ciprofloxacin","Resistant",,,,,"Disk diffusion",,,,"CLSI",2013,,,,"Laboratory Method",,"30843063"
192955,"192955.379","Salmonella enterica subsp. enterica serovar Kentucky strain 201403559","ciprofloxacin","Resistant",,,,,"Disk diffusion",,,"Bio-Rad","EUCAST",2014,,,,"Laboratory Method",,"31107206"
573,"573.23229","Klebsiella pneumoniae strain KP_328","ciprofloxacin","Resistant",,,,,"Disk diffusion",,,,"CLSI",2016,,,,"Laboratory Method",,"31594927"
573,"573.14484","Klebsiella pneumoniae KPN911ec","ciprofloxacin","Resistant",">2",">","2","mg/L","Broth dilution",,"BD Phoenix",,"CLSI",2017,,,,"Laboratory Method",,"28512093;28776045"
485,"485.14489","Neisseria gonorrhoeae AUSMDU00012652","ciprofloxacin","Resistant",,,,,"Agar dilution",,,,"Australian Gonococcal Surveillance Programme (AGSP)",,,,,"Laboratory Method",,"31488838"
485,"485.718","Neisseria gonorrhoeae strain 27588","ciprofloxacin","Resistant","16",,"16","mg/L","Broth dilution",,,,"CLSI",2014,,,,"Laboratory Method",,"25378573"
470,"470.16310","Acinetobacter baumannii 91_n","ciprofloxacin","Resistant",,,,,"Disk diffusion",,,"Unipath","CLSI",2011,,,,"Laboratory Method",,"28348846"
1280,"1280.39653","Staphylococcus aureus C2384","ciprofloxacin","Resistant",,,,,"Disk diffusion",,,,"CLSI",2012,,,,"Laboratory Method",,"29295910"
1438764,"1438764.3","Klebsiella pneumoniae CHS 58","ciprofloxacin","Resistant",,,,,"Broth dilution",,,,,,,,,"Laboratory Method",,
1280,"1280.8357","Staphylococcus aureus C00007109","ciprofloxacin","Resistant",,,,,,,,,,,,,,"Laboratory Method",,"26686880"
1280,"1280.30412","Staphylococcus aureus strain HICF0904","ciprofloxacin","Resistant",,,,,"Disk diffusion",,,,"EUCAST",2019,,,,"Laboratory Method",,"32025709"
90370,"90370.2766","Salmonella enterica subsp. enterica serovar Typhi strain 343076_221151","ciprofloxacin","Resistant","0.25",,"0.25","mg/L","Broth dilution",,,,"EUCAST",2018,,,,"Laboratory Method",,"30425150"
485,"485.13397","Neisseria gonorrhoeae AUSMDU00012403","ciprofloxacin","Resistant",,,,,"Agar dilution",,,,"Australian Gonococcal Surveillance Programme (AGSP)",,,,,"Laboratory Method",,"31488838"
1280,"1280.39596","Staphylococcus aureus C1780","ciprofloxacin","Resistant",,,,,"Disk diffusion",,,,"CLSI",2012,,,,"Laboratory Method",,"29295910"
28901,"28901.24674","Salmonella enterica s13069","ciprofloxacin","Resistant",,,,,"Agar dilution",,,,"CLSI, EUCAST",2018,,,,"Laboratory Method",,"35861536"
573,"573.14087","Klebsiella pneumoniae KPN362ec","ciprofloxacin","Resistant",">2",">","2","mg/L","Broth dilution",,"BD Phoenix",,"CLSI",2017,,,,"Laboratory Method",,"28512093;28776045"
573,"573.67407","Klebsiella pneumoniae MGL_173","ciprofloxacin","Resistant",,,,,"Disk diffusion",,,"BD","CLSI, EUCAST",2021,,,,"Laboratory Method",,"37549252"
90370,"90370.3096","Salmonella enterica subsp. enterica serovar Typhi strain 343078_233105","ciprofloxacin","Resistant","1",,"1","mg/L","Broth dilution",,,,"EUCAST",2018,,,,"Laboratory Method",,"30425150"
485,"485.17814","Neisseria gonorrhoeae LRRBGS_0111","ciprofloxacin","Resistant",,,,,"Agar dilution",,,,"EUCAST",,,,,"Laboratory Method",,"33785063"
